algorithm,machine,size,variant,metric,value
avx2,zen5,16384,ours-avx2,tsc_ticks_per_byte,0.67105466
avx2,zen5,16384,openssl-avx2,core_cycles_per_byte,1.22676411
avx2,zen5,16384,openssl-avx2,instructions_per_byte,3.12481812
avx2,zen5,16384,openssl-avx2,tsc_ticks_per_byte,0.73079407
avx2,zen5,16384,boringssl-avx2,core_cycles_per_byte,1.22491446
avx2,zen5,16384,boringssl-avx2,instructions_per_byte,3.12359738
avx2,zen5,16384,boringssl-avx2,tsc_ticks_per_byte,0.73052132
avx2,zen5,16384,intel-avx2,core_cycles_per_byte,1.33493823
avx2,zen5,16384,intel-avx2,instructions_per_byte,2.90509161
avx2,zen5,16384,intel-avx2,tsc_ticks_per_byte,0.80025643
avx2,zen5,16385,ours-avx2,core_cycles_per_byte,1.11592964
avx2,zen5,16385,ours-avx2,instructions_per_byte,4.77534440
avx2,zen5,16385,ours-avx2,tsc_ticks_per_byte,0.66603377
avx2,zen5,16385,openssl-avx2,core_cycles_per_byte,1.26493887
avx2,zen5,16385,openssl-avx2,instructions_per_byte,3.22105719
